"sentence:jaba sWiwi Ora suXara jAe wo aByAsa meM jAnuSirAsana, supwavajrAsana, wrikoNAsana, uwwAnapAxAsana, gomuKAsana waWA arXamawsyeMxrAsana Axi ko jodZa leM।",filename:2.143,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:4,p_word:suXara,p_pos:VERB,c_id:1,c_word:jaba,c_pos:PRON,gc_id:9,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:jaba sWiwi Ora suXara jAe wo aByAsa meM jAnuSirAsana, supwavajrAsana, wrikoNAsana, uwwAnapAxAsana, gomuKAsana waWA arXamawsyeMxrAsana Axi ko jodZa leM।",filename:2.143,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:22,p_word:jodZa,p_pos:VERB,c_id:6,c_word:wo,c_pos:PRON,gc_id:9,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:jaba sWiwi Ora suXara jAe wo aByAsa meM jAnuSirAsana, supwavajrAsana, wrikoNAsana, uwwAnapAxAsana, gomuKAsana waWA arXamawsyeMxrAsana Axi ko jodZa leM।",filename:2.143,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:22,p_word:jodZa,p_pos:VERB,c_id:7,c_word:aByAsa,c_pos:NOUN,gc_id:8,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:yahAz para jAnuSirAsana ke aByAsa kI viXi praswuwa hE - xonoM pEroM ko sAmane kI ora PElAkara bETa jAez।,filename:2.144,case:3,no_of_sibblings:1,no_of_sibblings_not_comp-or-obl:1,p_id:17,p_word:PElAkara,p_pos:VERB,c_id:14,c_word:sAmane,c_pos:ADV,gc_id:16,gc_word:ora,gc_pos:ADP,gc_rel:case
sentence:xAez pEra ko Gutane se modZakara isake walave kA bAez pEra kI jaMGA se satA xeM waWA edZI jananeMxriya ke nIce raKeM।,filename:2.145,case:3,no_of_sibblings:1,no_of_sibblings_not_comp-or-obl:1,p_id:6,p_word:modZakara,p_pos:VERB,c_id:4,c_word:Gutane,c_pos:NOUN,gc_id:5,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:xAez pEra ko Gutane se modZakara isake walave kA bAez pEra kI jaMGA se satA xeM waWA edZI jananeMxriya ke nIce raKeM।,filename:2.145,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:15,p_word:satA,p_pos:VERB,c_id:13,c_word:jaMGA,c_pos:NOUN,gc_id:14,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:xAez pEra ko Gutane se modZakara isake walave kA bAez pEra kI jaMGA se satA xeM waWA edZI jananeMxriya ke nIce raKeM।,filename:2.145,case:3,no_of_sibblings:1,no_of_sibblings_not_comp-or-obl:1,p_id:22,p_word:raKeM,p_pos:VERB,c_id:19,c_word:jananeMxriya,c_pos:NOUN,gc_id:21,gc_word:nIce,gc_pos:ADP,gc_rel:case
sentence:xonoM hAWoM ko bAez pEra ke paMje ke pAsa le jAwe hue Age kI ora iwanA JukeM ki sira jamIna ko sparSa kare।,filename:2.146,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:10,p_word:le,p_pos:VERB,c_id:7,c_word:paMje,c_pos:NOUN,gc_id:9,gc_word:pAsa,gc_pos:ADP,gc_rel:case
sentence:xonoM hAWoM ko bAez pEra ke paMje ke pAsa le jAwe hue Age kI ora iwanA JukeM ki sira jamIna ko sparSa kare।,filename:2.146,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:17,p_word:JukeM,p_pos:VERB,c_id:13,c_word:Age,c_pos:ADV,gc_id:15,gc_word:ora,gc_pos:ADP,gc_rel:case
sentence:isa sWiwi meM ArAmaxAyaka avaXi waka raKakara vApasa pUrva sWiwi meM Aez।,filename:2.147,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:12,p_word:Aez,p_pos:VERB,c_id:2,c_word:sWiwi,c_pos:NOUN,gc_id:3,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:isa sWiwi meM ArAmaxAyaka avaXi waka raKakara vApasa pUrva sWiwi meM Aez।,filename:2.147,case:2,no_of_sibblings:0,no_of_sibblings_not_comp-or-obl:0,p_id:7,p_word:raKakara,p_pos:VERB,c_id:5,c_word:avaXi,c_pos:NOUN,gc_id:6,gc_word:waka,gc_pos:ADP,gc_rel:case
sentence:isa sWiwi meM ArAmaxAyaka avaXi waka raKakara vApasa pUrva sWiwi meM Aez।,filename:2.147,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:12,p_word:Aez,p_pos:VERB,c_id:10,c_word:sWiwi,c_pos:NOUN,gc_id:11,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:yahI kriyA xUsarI waraPa BI kareM।,filename:2.148,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:1,p_id:6,p_word:kareM,p_pos:VERB,c_id:4,c_word:waraPa,c_pos:ADV,gc_id:11,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:cuiMga gama cabAne se lAra banawI hE।,filename:2.16,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:6,p_word:banawI,p_pos:VERB,c_id:3,c_word:cabAne,c_pos:VERB,gc_id:4,gc_word:se,gc_pos:ADP,gc_rel:mark
sentence:cuiMga gama se xAzwoM ko sAPa raKane meM maxaxa milawI hE।,filename:2.17,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:2,p_id:7,p_word:raKane,p_pos:VERB,c_id:2,c_word:gama,c_pos:NOUN,gc_id:3,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:cuiMga gama se xAzwoM ko sAPa raKane meM maxaxa milawI hE।,filename:2.17,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:2,p_id:10,p_word:milawI,p_pos:VERB,c_id:7,c_word:raKane,c_pos:VERB,gc_id:8,gc_word:meM,gc_pos:ADP,gc_rel:mark
sentence:Sugara yukwa gama ko sehawa ke lie acCA nahIM mAnA jAwA।,filename:2.18,case:3,no_of_sibblings:5,no_of_sibblings_not_comp-or-obl:5,p_id:10,p_word:mAnA,p_pos:VERB,c_id:5,c_word:sehawa,c_pos:NOUN,gc_id:7,gc_word:lie,gc_pos:ADP,gc_rel:case
sentence:isalie deMtista Sugara yukwa gama ko KAne kI salAha nahIM xewe।,filename:2.19,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:11,p_word:xewe,p_pos:VERB,c_id:1,c_word:isalie,c_pos:PRON,gc_id:7,gc_word:lie,gc_pos:ADP,gc_rel:case
sentence:xAzwoM se ApakA AwmaviSvAsa BI baDZawA hE।,filename:2.2,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:6,p_word:baDZawA,p_pos:VERB,c_id:1,c_word:xAzwoM,c_pos:NOUN,gc_id:2,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:xaMwacikiwsaka se xAzwoM kI jAzca niyamiwa rUpa se karAez।,filename:2.21,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:2,p_id:9,p_word:karAez,p_pos:VERB,c_id:1,c_word:xaMwacikiwsaka,c_pos:NOUN,gc_id:2,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:KAne ke bAxa muzha sAPa kareM।,filename:2.23,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:2,p_id:6,p_word:kareM,p_pos:VERB,c_id:1,c_word:KAne,c_pos:NOUN,gc_id:3,gc_word:bAxa,gc_pos:ADV,gc_rel:case
sentence:hara bAra KAne ke bAxa pAnI se muzha jarUra sAPa kareM।,filename:2.24,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:11,p_word:kareM,p_pos:VERB,c_id:2,c_word:bAra,c_pos:NOUN,gc_id:3,gc_word:bAxa,gc_pos:ADV,gc_rel:case
sentence:hara bAra KAne ke bAxa pAnI se muzha jarUra sAPa kareM।,filename:2.24,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:11,p_word:kareM,p_pos:VERB,c_id:3,c_word:KAne,c_pos:VERB,gc_id:5,gc_word:bAxa,gc_pos:ADV,gc_rel:mark
sentence:hara bAra KAne ke bAxa pAnI se muzha jarUra sAPa kareM।,filename:2.24,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:11,p_word:kareM,p_pos:VERB,c_id:6,c_word:pAnI,c_pos:NOUN,gc_id:7,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:isase KAne ke bace hue tukadZe sAPa ho jAwe hEM।,filename:2.25,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:8,p_word:ho,p_pos:VERB,c_id:1,c_word:isase,c_pos:PRON,gc_id:7,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:isase KAne ke bace hue tukadZe sAPa ho jAwe hEM।,filename:2.25,case:3,no_of_sibblings:1,no_of_sibblings_not_comp-or-obl:1,p_id:4,p_word:bace,p_pos:VERB,c_id:2,c_word:KAne,c_pos:NOUN,gc_id:3,gc_word:ke,gc_pos:ADP,gc_rel:case
sentence:nIMbU Ora namaka ke miSraNa se xAzwa sAPa kareM।,filename:2.26,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:2,p_id:9,p_word:kareM,p_pos:VERB,c_id:5,c_word:miSraNa,c_pos:NOUN,gc_id:6,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:eka cammaca meM namaka lekara usameM wIna se cAra bUMxeM nIMbU kI dAla leM।,filename:2.27,case:3,no_of_sibblings:1,no_of_sibblings_not_comp-or-obl:1,p_id:5,p_word:lekara,p_pos:VERB,c_id:2,c_word:cammaca,c_pos:NOUN,gc_id:3,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:eka cammaca meM namaka lekara usameM wIna se cAra bUMxeM nIMbU kI dAla leM।,filename:2.27,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:13,p_word:dAla,p_pos:VERB,c_id:6,c_word:usameM,c_pos:PRON,gc_id:3,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:eka cammaca meM namaka lekara usameM wIna se cAra bUMxeM nIMbU kI dAla leM।,filename:2.27,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:13,p_word:dAla,p_pos:VERB,c_id:11,c_word:nIMbU,c_pos:NOUN,gc_id:12,gc_word:kI,gc_pos:ADP,gc_rel:case
sentence:hara haPwe isa miSraNa se xAzwoM ko sAPa kareM।,filename:2.28,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:2,p_id:9,p_word:kareM,p_pos:VERB,c_id:2,c_word:haPwe,c_pos:NOUN,gc_id:12,gc_word:kI,gc_pos:ADP,gc_rel:case
sentence:hara haPwe isa miSraNa se xAzwoM ko sAPa kareM।,filename:2.28,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:2,p_id:9,p_word:kareM,p_pos:VERB,c_id:4,c_word:miSraNa,c_pos:NOUN,gc_id:5,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:isase na kevala xAzwa camacamAne lagawe hEM।,filename:2.29,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:5,p_word:camacamAne,p_pos:VERB,c_id:1,c_word:isase,c_pos:PRON,gc_id:5,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:hamAre masUDZoM Ora xAzwoM ke bIca bEktIriyA mOjUxa howe hEM।,filename:2.3,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:9,p_word:howe,p_pos:VERB,c_id:2,c_word:masUDZoM,c_pos:NOUN,gc_id:6,gc_word:bIca,gc_pos:ADP,gc_rel:case
sentence:balki sAzsoM kI xurgaMXa se BI CutakArA milawA hE।,filename:2.30,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:8,p_word:milawA,p_pos:VERB,c_id:4,c_word:xurgaMXa,c_pos:NOUN,gc_id:5,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:lekina KAna-pAna para XyAna Ora jIvanaSElI meM WodZA baxalAva lAkara Apa Kuxa ko svasWa raKa sakawe hEM।,filename:2.33,case:3,no_of_sibblings:1,no_of_sibblings_not_comp-or-obl:1,p_id:10,p_word:lAkara,p_pos:VERB,c_id:2,c_word:KAna-pAna,c_pos:NOUN,gc_id:3,gc_word:para,gc_pos:ADP,gc_rel:case
sentence:lekina KAna-pAna para XyAna Ora jIvanaSElI meM WodZA baxalAva lAkara Apa Kuxa ko svasWa raKa sakawe hEM।,filename:2.33,case:3,no_of_sibblings:1,no_of_sibblings_not_comp-or-obl:1,p_id:10,p_word:lAkara,p_pos:VERB,c_id:4,c_word:XyAna,c_pos:NOUN,gc_id:7,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:kama vasAyukwa AhAra kA kareM sevana।,filename:2.34,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:5,p_word:kareM,p_pos:VERB,c_id:3,c_word:AhAra,c_pos:NOUN,gc_id:4,gc_word:kA,gc_pos:ADP,gc_rel:case
sentence:KAnA vahI KAez jisameM kama vasA Ora PAibara jyAxA ho।,filename:2.35,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:10,p_word:ho,p_pos:VERB,c_id:4,c_word:jisameM,c_pos:PRON,gc_id:4,gc_word:kA,gc_pos:ADP,gc_rel:case
sentence:PaloM Ora sabjiyoM meM EsA hI anupAwa rahawA hE।,filename:2.36,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:8,p_word:rahawA,p_pos:VERB,c_id:1,c_word:PaloM,c_pos:NOUN,gc_id:4,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:kama vasA Ora PAibara vAle KAne se vajana niyaMwriwa karane meM maxaxa milawI hE।,filename:2.37,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:2,p_id:10,p_word:karane,p_pos:VERB,c_id:6,c_word:KAne,c_pos:NOUN,gc_id:7,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:kama vasA Ora PAibara vAle KAne se vajana niyaMwriwa karane meM maxaxa milawI hE।,filename:2.37,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:13,p_word:milawI,p_pos:VERB,c_id:10,c_word:karane,c_pos:VERB,gc_id:11,gc_word:meM,gc_pos:ADP,gc_rel:mark
sentence:kama vasA Ora PAibara vAle KAne se Apa kaI bImAriyoM se BI xUra rahawe hEM।,filename:2.38,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:14,p_word:rahawe,p_pos:VERB,c_id:6,c_word:KAne,c_pos:NOUN,gc_id:7,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:kama vasA Ora PAibara vAle KAne se Apa kaI bImAriyoM se BI xUra rahawe hEM।,filename:2.38,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:14,p_word:rahawe,p_pos:VERB,c_id:10,c_word:bImAriyoM,c_pos:NOUN,gc_id:13,gc_word:xUra,gc_pos:ADP,gc_rel:case
sentence:blada preSara Ora kolestrAla ko niyaMwriwa karane ke lie namaka Ora SarAba kA sevana kama se kama mAwrA meM kareM।,filename:2.40,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:2,p_id:20,p_word:kareM,p_pos:VERB,c_id:18,c_word:mAwrA,c_pos:NOUN,gc_id:19,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:XUmrapAna karane se kEMsara samewa kaI bImAriyoM kA KawarA howA hE।,filename:2.42,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:10,p_word:howA,p_pos:VERB,c_id:4,c_word:kEMsara,c_pos:PROPN,gc_id:5,gc_word:samewa,gc_pos:ADP,gc_rel:case
sentence:roja kareM vyAyAma।,filename:2.44,case:3,no_of_sibblings:1,no_of_sibblings_not_comp-or-obl:1,p_id:2,p_word:kareM,p_pos:VERB,c_id:1,c_word:roja,c_pos:NOUN,gc_id:5,gc_word:samewa,gc_pos:ADP,gc_rel:case
sentence:apanI roja kI xinacaryA meM vyAyAma ko jarUra SAmila kareM।,filename:2.45,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:10,p_word:kareM,p_pos:VERB,c_id:4,c_word:xinacaryA,c_pos:NOUN,gc_id:5,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:niyamiwa vyAyAma se Apa hqxaya roga, kolana kEMsara, blada preSara Ora dAyabitIja jEsI bImAriyoM se bacAva kara sakawe hEM।",filename:2.46,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:19,p_word:kara,p_pos:VERB,c_id:2,c_word:vyAyAma,c_pos:NOUN,gc_id:3,gc_word:se,gc_pos:ADP,gc_rel:case
"sentence:niyamiwa vyAyAma se Apa hqxaya roga, kolana kEMsara, blada preSara Ora dAyabitIja jEsI bImAriyoM se bacAva kara sakawe hEM।",filename:2.46,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:19,p_word:kara,p_pos:VERB,c_id:16,c_word:bImAriyoM,c_pos:NOUN,gc_id:17,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:inase SarIra meM lacIlApana banA rahawA hE।,filename:2.49,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:5,p_word:banA,p_pos:VERB,c_id:1,c_word:inase,c_pos:PRON,gc_id:17,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:inase SarIra meM lacIlApana banA rahawA hE।,filename:2.49,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:5,p_word:banA,p_pos:VERB,c_id:2,c_word:SarIra,c_pos:NOUN,gc_id:3,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:yahAz xie kuCa AsAna nusKoM kI maxaxa se Apa apane xAzwoM ko svacCa Ora sAzsoM ko wAjA raKa sakawe hEM।,filename:2.5,case:2,no_of_sibblings:0,no_of_sibblings_not_comp-or-obl:0,p_id:2,p_word:xie,p_pos:VERB,c_id:1,c_word:yahAz,c_pos:PRON,gc_id:3,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:yahAz xie kuCa AsAna nusKoM kI maxaxa se Apa apane xAzwoM ko svacCa Ora sAzsoM ko wAjA raKa sakawe hEM।,filename:2.5,case:3,no_of_sibblings:6,no_of_sibblings_not_comp-or-obl:5,p_id:18,p_word:raKa,p_pos:VERB,c_id:7,c_word:maxaxa,c_pos:NOUN,gc_id:8,gc_word:se,gc_pos:ADP,gc_rel:case
"sentence:maleriyA, kAlAjAra, yakRmA kI SuruAwa buKAra se hI howI hE।",filename:2.51,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:2,p_id:11,p_word:howI,p_pos:VERB,c_id:8,c_word:buKAra,c_pos:NOUN,gc_id:9,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:bAsI Bojana va sadZaka kinAre bikane vAle sAmAna kA sevana nahIM kareM।,filename:2.53,case:3,no_of_sibblings:1,no_of_sibblings_not_comp-or-obl:1,p_id:6,p_word:bikane,p_pos:VERB,c_id:2,c_word:Bojana,c_pos:NOUN,gc_id:9,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:kE-xaswa hone para namaka Ora cInI kA Gola yA o.Ara.esa pilAyeM।,filename:2.55,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:11,p_word:pilAyeM,p_pos:VERB,c_id:2,c_word:hone,c_pos:VERB,gc_id:3,gc_word:para,gc_pos:ADP,gc_rel:mark
sentence:lagAwAra buKAra se pIdZiwa ho?,filename:2.57,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:5,p_word:ho,p_pos:VERB,c_id:2,c_word:buKAra,c_pos:NOUN,gc_id:3,gc_word:se,gc_pos:ADP,gc_rel:case
"sentence:pahale o.Ara.esa. kA Gola pilAyeM, isake bAxa bacce ko kisI SiSu roga viSeRajFa se SIGra xiKAyeM।",filename:2.60,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:5,p_word:pilAyeM,p_pos:VERB,c_id:1,c_word:pahale,c_pos:ADV,gc_id:3,gc_word:se,gc_pos:ADP,gc_rel:case
"sentence:pahale o.Ara.esa. kA Gola pilAyeM, isake bAxa bacce ko kisI SiSu roga viSeRajFa se SIGra xiKAyeM।",filename:2.60,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:17,p_word:xiKAyeM,p_pos:VERB,c_id:7,c_word:isake,c_pos:PRON,gc_id:8,gc_word:bAxa,gc_pos:ADP,gc_rel:case
"sentence:pahale o.Ara.esa. kA Gola pilAyeM, isake bAxa bacce ko kisI SiSu roga viSeRajFa se SIGra xiKAyeM।",filename:2.60,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:17,p_word:xiKAyeM,p_pos:VERB,c_id:14,c_word:viSeRajFa,c_pos:NOUN,gc_id:15,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:DAI - wIna varRo se hara xo - wIna mAha para PIvara ho jAwA hE।,filename:2.61,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:13,p_word:ho,p_pos:VERB,c_id:4,c_word:varRo,c_pos:NOUN,gc_id:5,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:DAI - wIna varRo se hara xo - wIna mAha para PIvara ho jAwA hE।,filename:2.61,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:13,p_word:ho,p_pos:VERB,c_id:10,c_word:mAha,c_pos:NOUN,gc_id:11,gc_word:para,gc_pos:ADP,gc_rel:case
sentence:yahI nahIM jIBa para saPexa parawa jama jAwI hE।,filename:2.62,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:7,p_word:jama,p_pos:VERB,c_id:2,c_word:nahIM,c_pos:PART,gc_id:11,gc_word:para,gc_pos:ADP,gc_rel:case
sentence:yahI nahIM jIBa para saPexa parawa jama jAwI hE।,filename:2.62,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:7,p_word:jama,p_pos:VERB,c_id:3,c_word:jIBa,c_pos:NOUN,gc_id:4,gc_word:para,gc_pos:ADP,gc_rel:case
sentence:kuCa xinoM se halkA PIvara rahawA hE।,filename:2.65,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:6,p_word:rahawA,p_pos:VERB,c_id:2,c_word:xinoM,c_pos:NOUN,gc_id:3,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:buKAra kI jAzca kareM Ora anya jarUrI jAzca ke paScAwa hI kAlAjAra pramANiwa ho sakawA hE।,filename:2.66,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:14,p_word:ho,p_pos:VERB,c_id:8,c_word:jAzca,c_pos:NOUN,gc_id:10,gc_word:paScAwa,gc_pos:ADP,gc_rel:case
sentence:metAsina kI golI xene se buKAra uwara jAwA hE Ora Pira 103 waka buKAra caDZa jAwA hE।,filename:2.67,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:15,p_word:caDZa,p_pos:VERB,c_id:12,c_word:103,c_pos:NUM,gc_id:13,gc_word:waka,gc_pos:ADP,gc_rel:case
sentence:cAra - cAra GaMte para PIvara ko mApeM।,filename:2.69,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:8,p_word:mApeM,p_pos:VERB,c_id:4,c_word:GaMte,c_pos:NOUN,gc_id:5,gc_word:para,gc_pos:ADP,gc_rel:case
sentence:xAzwoM ko TIka se sAPa karane meM xo se wIna minata kA samaya lagawA hE।,filename:2.7,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:14,p_word:lagawA,p_pos:VERB,c_id:6,c_word:karane,c_pos:VERB,gc_id:7,gc_word:meM,gc_pos:ADP,gc_rel:mark
sentence:agara 100 se jyAxA PIvara ho wo pErAsItAmola kI golI xeM Ora kisI ORaXi viSeRajFa cikiwsaka se parAmarSa leM।,filename:2.70,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:1,p_id:19,p_word:leM,p_pos:VERB,c_id:16,c_word:cikiwsaka,c_pos:NOUN,gc_id:17,gc_word:se,gc_pos:ADP,gc_rel:case
"sentence:isakA PElAva muKyawa: asurakRiwa yOna saMbaMXa, saMkramiwa sUI, saMkramiwa rakwa va mAz se baccoM meM howA hE।",filename:2.75,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:19,p_word:howA,p_pos:VERB,c_id:7,c_word:saMbaMXa,c_pos:NOUN,gc_id:17,gc_word:se,gc_pos:ADP,gc_rel:case
"sentence:isakA PElAva muKyawa: asurakRiwa yOna saMbaMXa, saMkramiwa sUI, saMkramiwa rakwa va mAz se baccoM meM howA hE।",filename:2.75,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:19,p_word:howA,p_pos:VERB,c_id:17,c_word:baccoM,c_pos:NOUN,gc_id:18,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:isase SarIra kI roga prawiroXaka kRamawA kama howI jAwI hE।,filename:2.76,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:8,p_word:howI,p_pos:VERB,c_id:1,c_word:isase,c_pos:PRON,gc_id:18,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:haddiyoM meM xarxa, lagAwAra buKAra, Bale hI yaha kama kyoM na ho yA buKAra SAma meM baDZa jAye, xarxa ke sAWa-sAWa haddiyoM meM vikqwi A jAye wo yaha bona tIbI kA lakRaNa hE।",filename:2.78,case:3,no_of_sibblings:9,no_of_sibblings_not_comp-or-obl:9,p_id:14,p_word:ho,p_pos:VERB,c_id:1,c_word:haddiyoM,c_pos:NOUN,gc_id:2,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:haddiyoM meM xarxa, lagAwAra buKAra, Bale hI yaha kama kyoM na ho yA buKAra SAma meM baDZa jAye, xarxa ke sAWa-sAWa haddiyoM meM vikqwi A jAye wo yaha bona tIbI kA lakRaNa hE।",filename:2.78,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:19,p_word:baDZa,p_pos:VERB,c_id:17,c_word:SAma,c_pos:NOUN,gc_id:18,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:haddiyoM meM xarxa, lagAwAra buKAra, Bale hI yaha kama kyoM na ho yA buKAra SAma meM baDZa jAye, xarxa ke sAWa-sAWa haddiyoM meM vikqwi A jAye wo yaha bona tIbI kA lakRaNa hE।",filename:2.78,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:28,p_word:A,p_pos:VERB,c_id:22,c_word:xarxa,c_pos:NOUN,gc_id:24,gc_word:sAWa-sAWa,gc_pos:ADP,gc_rel:case
"sentence:haddiyoM meM xarxa, lagAwAra buKAra, Bale hI yaha kama kyoM na ho yA buKAra SAma meM baDZa jAye, xarxa ke sAWa-sAWa haddiyoM meM vikqwi A jAye wo yaha bona tIbI kA lakRaNa hE।",filename:2.78,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:28,p_word:A,p_pos:VERB,c_id:25,c_word:haddiyoM,c_pos:NOUN,gc_id:26,gc_word:meM,gc_pos:ADP,gc_rel:case
