#################################################################################	#################################################################################
chicanery	vAkCala/Cala-kapata
chicane	xoharA_moda/cAlAkI
chick	cUjA
chicken-feed	kukkuta-xAnA
chickenhearted	kAyara/darapoka
chicken	kAyara/darapoka/cikana/murgI/navayuvawI/ladakoM_kA_Kela/kukkutaSAvaka/kiSorI/kAyara/goSwa/darapoka/cUjA/cikana/baccA/murge_kA_mAzsa
chickenpox	CotI_mAwA
chicken-run	murgI_kA_bAdA
chickens	darapoka
chicks	cUjA
chicness	sajane-sazvarane_kI_SAlInawA
chicory	cikarI
chic	tIpa-tApa/TATa-bAta
chid	dAztanA
chidden	dAztanA
chidding	JidakI
chide	dAzta
chided	dAztanA
chides	dAztanA
chiding	dAztanA/dAzta
chiefer	pramuKa
chiefest	pramuKa
chieflier	praXAnawaH
chiefliest	praXAnawaH
chiefly	praXAnawaH/sarvopari/muKya_rUpa_seM
chief	muKya/sarvocca/pramuKa/mahawwvapUrNa/muKya/pramuKa/nAyaka/muKyAXikArI/muKiyA/mAlika/aXyakRa/aXikArI
chiefs	pramuKa
chieftain	praXAna-puruRa/muKiyA
chieftains	praXAna-puruRa
chiffon	SiDoYna/Sifana
child	baccA/nAsamaJa
child-bearing	prasava
childbearing	prasUwi/prasava
childbed	prasUwi/prasava
childbirth	sanwAna_prasava/prasUwi/prasava
childbirths	sanwAna_prasava
childhood	bacapana/bAlyAvasWA
childhoods	bacapana
childisher	ladakapana_kI_sI
childishest	ladakapana_kI_sI
childish	ladakapana_kI_sI/baccOM_sI/bacakAnA
childishly	nAxAna_rUpa_se
childlesser	niHsanwAna
childlessest	niHsanwAna
childless	niHsanwAna/nissanwAna
childlike	SiSu_sulaBa
child-minder	xeKaBAla_karanevAlA
childproof	SiSu-saha
children	baccA/bacce
chiliad	eka_hajAra
chili	mirca
chilled	uwsAha_hIna
chiller	uwsAha_hIna
chillest	uwsAha_hIna
chillier	uwsAha_hIna
chilliest	uwsAha_hIna
chilli	mirca
chillinesses	SIwalawA
chilliness	SIwalawA
chilling	uwsAha_hIna/darAvanA/dara_se_kazpakazpA_xene_vAlA
chills	uwsAha_hIna
chill	TaNdA_kiyA_huA/TaNda/TaNdII/TaNdApana/siharana/jukAma/uwsAha_hIna/uxAsI_PElA/TiTUra_jA/TaNdA/kAqpa_uTa/TaNdA_ho_jA
chilly	TaNdA/uxAsIna/TaMNdA/rUKA/uwsAha_hIna
chimed	JafkAra_karanA
chime	JafkAra/GaNtAnAxa/GaNtA_bajA/JafkAra_kara
chimeny-piece	cimanI_patta
chimes	JafkAra_karanA
chiming	JafkAra_karanA
chimney-breast	cimanI_prakRepa
chimney-pot	cimanI_kI_nalI
chimneys	pahAda_me_Upara_ko_jAwI_surafga
chimney-stack	cimanI_ciwi
chimney-sweep	cimanI_sAPa_karanevAlA
chimney	XuzAkaSa/cimanI/XuAzkaSa/lEMpa/cUlhA/barPa_kA_katAva/pahAda_me_Upara_ko_jAwI_surafga
chimpanzee	ciMpAFjI
chimpanzees	ciMpAFjI
chimp	ciMpAFjI
China	cIna
china	cIna/cInI_mittI_ke_barwana/cInI_mittI
chinas	cInI_mittI
chinaware	cInI_mittI_ke_barwana
chincherinchee	ciMcariMcI
chinese	cInI
Chinese	cInI/cIna_sambanXI/cInI/cInI_BARA
Chinese-red	siMxUrI_rafga_kA
chinked	KanakanA-KanakAnA
chinking	KanakanA-KanakAnA
chink	KanakanA-KanakA/xarAra/Kanaka/KanakA/Kanaka
chinks	KanakanA-KanakAnA
chinmay	cinmaya
chinned	TuddI
chinning	TuddI
chins	TuddI
chin	TuddI/TodI/hanu/TuddI_waka_uTA/gapSapa_kara/bAwaciwa_kara
chintz	CalataxAra_kapadA/CIMtaxAra_kapadA
chintzy	kaFjUsa/GatiyA/CIMtaxAra
chin-wag	gapa-Sapa
chin-wagging	gapa-Sapa
chipboard	cipaborda
chip_noun	cipa/etalikA
chipolata	CotA_gulamA
chipped	kone_se_tUtanA
chippie	cipsa_kI_xukAna
chipping	kone_se_tUtanA
chippy	cipsa_kI_xukAna
chips	kone_se_tUtanA
chip	tukadA/tUtA_huA_xAga/rUpaye_kA_lena_xena/mAikrocipa/geMxa_mArane_kA_Dafga/cippII/cipa/tUkadA_nikala/Poda/kinAre_se_tUta/kinAre_se_cippI_uwara/cipsa_kAta/cipa_mAra/CIla/kone_se_tUta
chirology	haswareKA_vixyA
chiromancer	haswareKA_SAswrI
chiromancy	haswareKA_vixyA
chiropractic	kAiriprEktika_cikiwsA_paxXawi
chirp	cUz-cUz_kara/cIM-cIM_kara
chirped	cIM-cIM_karanA
chirping	cIM-cIM_karanA
chirps	cIM-cIM_karanA
chirpy	prasanna
chisel	CenI/warASa/kAta/CenI_se_kAta
chiseled	CenI_se_kAtanA/warASA_huA
chiseling	CenI_se_kAtanA
chiselled	CenI_se_kAtanA
chiselling	CenI_se_kAtanA
chisels	CenI_se_kAtanA
chital	cIwala
chitchat	bAwacIwa/gapaSapa
chit-chat	gapa-Sapa/gapaSapa_kara
chitchats	gapaSapa
chitchatted	gapaSapa
chitchatting	gapaSapa
chit	parcI/CotI_ladakI/paracA
chits	CaWaAtI_ladakI
chitter	cahaka
chivalries	vIrawA
chivalrous	uxAwwa
chivalry	bahAxurI/maryAxApUrNa_vyavahAra/kRAwraXarma/vIrawA
chlordiazepoxide	klordAijIpOksAida
chlorination	klorIneSana
chlorine	klorIna
chlorines	klorIna
chlorin	klorIna
chlorins	klorIna
chloroform	besuXa_karane_kI_ORaXi/kloroParma/kloroPArma/kloroParma_suzGA_kara_behoSa_kara
chloroforms	kloroPArma
chlorophyll	kloroiMla/kloroPila
chmod	vixyA_parivarwana
choc	coYkaleta/cakaleta
choc-ice	cakaleta_AisakrIma
chock-a-block	TasATasa
chock	paccara
chocolate	cAkaleta_rafga/gaharA_bUrA/cAkaleta/cAkaleta/gahara_BurA_rafga/cAkaleta_sasa/cAkaleta_peya
chocolates	cAkaleta
choices	cunAva
choice	uwwama/sAvaXAnIpUrvaka_cune_hui/cuniMnxA/baDiyA/acCA/vikalpa/vaswu_kA_uwwama_safgraha/prakAra/pasanxa/cunAva/cunane_kA_aXikAra/cayana_kA_aXikAra/cayana/cArA
choir	Bajana_gAne_vAloM_kA_samUha/safgIwa-vAxyoM_kA_safgraha/girajAGara_gAyana-sWala/girajAGara_gAyaka-xala
choirs	Bajana_gAne_vAloM_kA_samUha
choked	avaruxXa_honA
chokes	avaruxXa_honA
choke	xama_Guta/sAMsa_rUkane_kI_sWiwi/coka/sAMsa_rUka/jAma_ho/galA_rUnXa/gake_me_PaMsa/SvAsAvaroXa_ho
choking	avaruxXa_honA
cholera	hEjA
choleras	hEjA
cholestasis	apiwwa
cholesterin	koYlestarIna
cholesterins	koYlestroYla
cholesterol	koYlestroYla/kolestrala
cholesterols	koYlestroYla
chondrodystrophy	upAsWi-avikasana/BrUNAsWiSoWa/bAlAsWikRaya
choose	cuna/pasanxa_kara/nirNaya_kara/cAzta/cAha
chooses	cunanA
choosing	cunanA
choosy	nakacaDa/nakacaDA
chop-chop	jalxI
chop	kAta/hAWa/cota/botI/AGAwa/tukade_kAta/Tappa_ho/cota_kara/tukade_tukade_kara
chopped	kAtanA/bArIka_tukadoM_meM_katA
chopper	helikoYptara/helikaptara/gazdAsA
choppiness	aSAnwi
chopping	kAtanA
choppy	warafgiwa/asWira
chops	kAtanA
chopstick	coYpastika/cInI_kAztA/capstika
chopsuey	capa_sUI
choral	Bajana_kA/gAyana_maNdalI_sambanXiwa
chorale	grajAGara_kA_Bajana
choraler	Bajana_kA
choralest	Bajana_kA
chorded	svara_saMyoga
chording	svara_saMyoga
chords	svara_saMyoga
chord	wAra/svarasafGAwa/jIvA/dorI/svara_saMyoga/nABigawa
choreographer	nqwya-praSikRaka
choreographic	nqwyakalA_sambanXI
choreograph	nqwya_SElI_meM_Ayojiwa_karanA/nqwya_SElI_meM_Ayojiwa_kara
choreography	nqwyakalA
chore	prawixina_kA_kAma/ubAU_kAma/kAma-kAja
chores	prawixina_kA_kAma
chorister	vqnxagAyaka
chorused	samUha
choruses	samUha
chorus	gAyaka_xala/sWAyI/sUwraXAra-samUha/sUwraXAra/sAmUhika_svara/saha_kalAkAra/korasa/girajA-sahagAna/gAyaka-vqnxa/gAyakoM_kA_samUha/samUhagAna_gA/samavewa_svaroM_meM_bola
chorusing	samUha
chose	cunanA
chosen	cunanA/cunA_huA
choses	cunA
chotray	CotarAya
choudhuri	cOXarI
choudhury	cOXarI
chouhan	cOhAna
chourasia	cOrasiyA
chowdurc	cOXarI
chowkidar	cOkIxAra
chp	sIecapI
christendom	IsAI_jagaw
christened	nAma_raKanA
christening	nAma_raKanA/nAmakaraNa
christen	nAma_raKa/pahalI_bAra_iswemAla_kara/nAma_xe/nAmakaraNa_kara
christens	nAma_raKanA
christian	IsAI_Xarma_sambanXI/IsAI
Christianity	IsAIyawa/IsAI_Xarma/IsAI_viSeRawA
Christ	IsA_masIha/IsA
Christmas	badA_xina
Christmases	badA_xina
christmas	krisamasa/badA_xina
Christmassy	krisamasa_jEsA
Christmastide	krisamasa-kAla
Christmastime	krisamasa-kAla
chromatically	vArNika_rUpa_se
chromaticity	vArNikawA
chromatic	vayaYrNaka/varNika/rafga-sambanXI
chrome	varNaXAwu/varNakapIwa/kroma
chromium	kromiyama
chromosomal	guNasUwra-sambanXI
chromosome	guNasUwra
chronicer	sWAyI
chronicest	sWAyI
chronicled	iwihAsa_meM_liKanA
chronicle	iwihAsa/vqwwAnwa/iwivqwwa/lipibaxXa_kara/iwihAsa_meM_liKa
chronicler	iwihAsa_leKaka
chroniclers	iwihAsa_leKaka
chronicles	iwihAsa_meM_liKanA
chronicling	iwihAsa_meM_liKanA
chronic	xIrGa/xIrGakAlika/purAnA/cirakAlika/sWAyI
chronologicaler	kAlAnukramika
chronologicalest	kAlAnukramika
chronological	kAlAnukramika
chronologically	kAlAnukrama_se
chronologicer	kAlAnukramika
chronologicest	kAlAnukramika
chronologic	kAlAnukramika
chronologies	kAlAnukrama
chronology	kAlAnukrama
chrysalid	koRAvasWA
chrysalis	koRAvasWA/koRa
chrysanthemum	gulaxAuxI/gulaxAUxI_kA_pOXA/gulaxAUxI
chrysanthemums	gulaxAuxI
chthonian	rasAwalI/aXolOkika
chthonic	rasAwalI/aXolOkika
chubbier	galaPulA
chubbiest	galaPulA
chubbiness	gulagoWanApana
chubby	golamatola/galaPulA
chub	Caba_macalI
chucked	beparavAha_PeMkanA
chuck	gomAMsa_kA_loWadA/caka/nikAla_xenA/beparavAha_PeMka/PeMka_xe/Coda_xe
chucking	beparavAha_PeMkanA
chuckled	ruka_ke_hazsanA
chuckles	ruka_ke_hazsanA
chuckle	xabI_huI_hazsI/xabI_hazsI_hazsa/ruka_ke_hazsa
chuckling	ruka_ke_hazsanA
chucks	beparavAha_PeMkanA
chuffed	awyaXika_prasanna
chukker-brown	wambAkU_ke_rafga_kA
chummed	sAWI
chummily	GniRTawA_se
chumminess	GaniRTawA
chumming	sAWI
chummy	GaniCaTa/miwravaw/GaniRTa
chum	sAWI/yAra
chums	sAWI
churched	girajAGara
churches	girajAGara
churchgoer	niyamiwa_rUa_se_girjA_jAne_vAlA
Churchill	carcila
churching	girajAGara
churchman	pAxarI/giraje_kA_purohiwa
churchmen	pAxarI
church	pAxarI/girajAGara/purohiwa/pAxarI/panWa/IsAI_loga/IsAI/girijAGara/carca/carca_meM_lA
churchwarden	giraje_kA_nirIkRaka
churchyard	girajA_ke_samIpa_mqwakoM_ke_gADane_kA_sWAna/giraje_kA_kabriswAna
churchyards	girajA_ke_samIpa_mqwakoM_ke_gADane_kA_sWAna
churlish	aBaxra
churl	kaFjUsa
churned	maWanA
churning	maWanA/vilodiwa
churn	maWane_kI_nAxa/XAwu_kA_xugXa-pAwra/manWana-Dola/matakI/maWa/makKana_nikAla/EMTan_ho
churns	maWanA
chute	iPasalan/PisalanI/pErASUta/DAlU_praNAla
CIA	sI_AI_e
cicada	SalaBa/JIMgura
cicumstances	parisWiwiyAz
cider	seba_kI_maxirA
ciders	seba_kI_maxirA
CID	sI_AI_dI
cigar	curuta/sigAra/curUta
cigaret	sigareta
cigarets	sigareta
cigarette-case	sigareta_kesa
cigarette-holder	sigareta_XAraka
cigarette-paper	sigareta_banAne_kA_kAgaja
cigarette	sigareta
cigarettes	sigareta
cigars	sigAra
cinch	AsAna_kAma
cincture	kamarapetI
cinder	afgArA/afgAra
cindered	afgArA
cindering	afgArA
cinders	afgArA
cine	calaciwra
cine-camera	calacitra_kEmarA
cinema	calaciwra/sinemAGara/sinemA/Pilma-uxyoga/Pilma/calacitraxarSI/calacitra
cinemas	sinemA
cinematic	calaciwra_sambanXI
cinematographer	calaciwrakAra
cinematographers	calaciwrakAra
cinematographies	calaciwraNa
cinematography	calaciwrakalA/calaciwraNa
cinnabar	siMxUrI_rafga_kA
cinnamons	xAlacInI
cinnamon	xAlacInI
ciphered	wucCa_vaswu
ciphering	wucCa_vaswu
cipher_noun	bIja_leKa/sAiPara
cipher	SUnya/safkewAkRara/kuCa_nahIM/bekAra_kI_cIja/AxyakRara/wucCa_vaswu/gupwa_liKAvata_kI_kuFjI
ciphers	wucCa_vaswu
ciphertest	bIjaleKa_parIkRaNa
circa	lagaBaga
circled	maNdalI
circles	maNdalI
circle	vqwwa/yAwAyAwa/xAyarA/samuxAya/rafga_maNdapa/paripaWa/pafkwi/kawAra/kRewra/kEMpa/kAla-cakra/jamAwa/guta/GerA/GatanA-cakra/cakra/cakkara/akRAfkRa/pariXi/maNdalI/Guma/gola_kara/cAro_Ora_cakkara_lagA/cakkara_lagA/cakkara_kAta/cakkara_mAra/Gera
circling	maNdalI
circuital	paripaWIya
circuit-breaker	paripaWa_viyojaka
circuit	cakkara/xOra_kA/xOrA/paripaWa/parikramA_sWala/kRqfKalA/IsAIyoM_ke_ika_varga_kA_XArmika_jilA/GerA/vixyuwa-paripaWa/nyAyaXISa_xvArA_mukaxxamA_sunane_hewu_kisI_sWAna_kA_niyamiwa_BramaNa_karanA
circuited	paripaWa
circuiting	paripaWa
circuit_noun	paripaWa
circuitouser	GumAvaxAra
circuitousest	GumAvaxAra
circuitous	GumAvaxAra/cakkaraxAra
circuitously	GumAvaxAra_rUpa_se
circuitry	vixyuw-pirapawa_wanwra/vixyuw-paripaWa_wanwra
circuits	vixyuwa-paripaWa
circularer	sarkyulara
circularest	sarkyulara
circularity	golAI
circularly	vqwwIya_rUpa_se
circulars	sarkyulara
circular	vqwwIya/nirarWaka/GumAvaxAra/golAkAra/gola/gaSwI_sAKa/cakrAkAra/sarkulara/paripatra/iSwihAra/gaSwI-ciTTI/sarkyulara
circulated	PElAnA
circulates	PElAnA
circulate	viwariwa_kara/PEla/parisaFcAriwa_ho/GUma/Beja/cAroM_ora_Beja/PElA
circulating	PElAnA
circulation	saFcaraNa/rakwasaFcAra/prasAra/pracalana/Kapawa/rakwa_bahana
circulations	rakwa_bahana
circulators	parisaFcAraka
circulatory	pirasaFcArI/parisaFcArI
circumcise	KawanA_kara
circumcision	KawanA
circumference	pariXi/GerA
circumferences	pariXi
circumscribe	sImiwa_kara/KIMca
circumspecter	sAvaXAnI_se
circumspectest	sAvaXAnI_se
circumspection	sAvaXAn/sAvaXAnI/samaJaxArI
circumspectly	sAvaXAnI_se/sAvaXAnIpUrvaka
circumspect	sAvaXAnI_se/sawarka
circumstance	parisWiwi/hAlAwa/sWiwi/xaSA
circumstances	xaSA/parisWiwiyAz
circumstantialer	saMyogavaSa
circumstantialest	saMyogavaSa
circumstantially	pArisWiwika/parisWiwiyoM_ke_AXAra_para/akasmAwa/acAnaka_hI
circumstantial	pArisWiwika/byorevAra/parisWiwivaSa/saMyogavaSa
circumvented	gawiroXa_pExA_karanA
circumvent	gawiroXa_pExA_kara
circumventing	gawiroXa_pExA_karanA
circumvents	gawiroXa_pExA_karanA
circuses	sarkasa
circus	sarkasa/krIdAfgaNa/cOka/aKAdA
cirrhosis	sirosisa
cirus	sAyarasa
cisc	siska
cissy	poMgA/poMgA_AxamI
cistern	jalAXAra/tafkI
cisterns	jalAXAra
citadel	gaDa/kota
citadels	kota
citation_noun	ulleKa
citations	sammAna-pawra
citation	uxAharaNa/sammana/xqRtAnwa/sammAna-pawra
cited	xqRtAnwa_xenA
cites	xqRtAnwa_xenA
cite	uxAharaNa_xe/walaba_kara/uxXqw_kara/ulleKa_kara/havAlA_xe/xqRtAnwa_xe/bulavA
cither	siWara
cities	Sahara
citified	SaharIkaraNa_karanA
citifies	SaharIkaraNa_karanA
citifying	SaharIkaraNa_karanA
citify	SaharIkaraNa_karanA
citing	xqRtAnwa_xenA
citizen	nAgarika/sWAnika/saxasya/nivAsI
citizenry	nAgiraka_varga/nAgarika_varga
citizenship	nAgarikawA/pOrAXikAra
citizenships	pOrAXikAra
citizens	nAgarika
citrin	sAitrina
citruser	nIbU_sanwarA_Axi
citruses	nIbU_sanwarA_Axi
citrusest	nIbU_sanwarA_Axi
citrus	nIbU_sanwarA_Axi/nIbU_vaMSa
citydweller	SaharavAsI
cityfied	SaharIkaraNa_karanA
cityfies	SaharIkaraNa_karanA
cityfying	SaharIkaraNa_karanA
cityfy	SaharIkaraNa_karanA
city	SaharI/Sahara/SAsana/sarakAra/nAgarika/nagara
city-state	sitI_steta
civet	bilAva_kaswUrI/ganXabilAva
civicer	nAgarika
civicest	nAgarika
civic	nAgarika/nagara-sambanXI/sAmAjika
civics	nAgarika_vijFAna/nAgarika_SAswra
civiler	saBya
civilest	saBya
civilian	asEnika/asEnika_karmacArI/asEnika_nAgarika
civilians	asEnika_karmacArI
civilisation	saByawA/samAja
civilisations	saBya_samAja
civilisedly	SiRtawaH/SiRtAcArapUrvaka/SAlInawaH/saByawaH/bASaUra
civilised	saBya_banAnA/SiRta/SikRiwa/saBya
civilise	saBya_banAnA
civilises	saBya_banAnA
civilising	saBya_banAnA
civilities	namrawA
civility	namrawA/SiRtawA/saByawA
civilization	saBya_samAja/SiRtawA/SiRta_samAja/saMskqw/sampanna_samAja/sAmAjika_vikAsa/saByawA/rojAnA_jIvana
civilizations	saBya_samAja
civilizedly	SiRtawaH/SiRtAcArapUrvaka/SAlInawaH/saByawaH/bASaUra
civilized	saBya_banAnA/SiRta/SikRiwa/saBya
civilize	saBya_banA/suXAra
civilizes	saBya_banAnA
civilizing	saBya_banAnA
civilly	nAgarika_rUpa_se
civil-marriage	rajistarda_SAxI/vaha_vivAha_jo_XArmika_viXi_se_na_ho_varana_kAnUnI_rUpa_se_ho
civil	nAgarika/xIvAnI/namra/asEnya/saBya/xIvAnI{kAnUna_sambanXI}/asEnika
ckakravarthy	cakravarwI
clacked	karkaSa_Sabxa_karanA
clacking	karkaSa_Sabxa_karanA
clack	karkaSa_Sabxa_kara
clacks	karkaSa_Sabxa_karanA
clad	DakA_huA/lipatA_hu/kapade_pahane_hue
cladding	AcCAxiwa_kara/Xawu_AvaraNa/AcCAxiwa_karanA
cladding_noun	pariniXAna
claddings	AcCAxiwa_karanA
clads	kapade_pahane_hue
claimants	xAvexAra
claimant	xAvexAra
claimed	muAvaje_kI_mAfga
claiming	muAvaje_kI_mAfga
claims	muAvaje_kI_mAfga
claim	xAvA/mAzga/klema/jamIna/bayAna/aXikAra/muAvaje_kI_mAfga/jora_xekara_kahanA/xAvA_kara/xAve_ke_sAWa_kaha/niScayapUrvaka_kaha/mAzga_kara/le/jarurawa_ho/jora_xekara_kaha/muAvajA_mAzga/kA_pAwra_ho/nukasAna_kA_kAraNa_ho
clamant	kolAhalapUrNa
clambered	kaTinAI_se_caDanA
clambering	kaTinAI_se_caDanA
clamber	kaTinAI_se_caDa/hAWa-pEra_ke_bala_kaTinAI_se_caDa
clambers	kaTinAI_se_caDanA
clam	eka_prakAra_kA_GoMGA/badI_sIpI
clammed	eka_prakAra_kA_GoMGA
clammier	cipacipA
clammiest	cipacipA
clamming	eka_prakAra_kA_GoMGA
clammy	cipacipA
clamor	cillAnA
clamored	cillAnA
clamoring	cillAnA
clamorous	kolAhalapUrNa
clamors	cillAnA
clamoured	cillAnA
clamouring	cillAnA
clamour	kolAhala/Sora/joraxAra_mAzga/Sora_macA/joraxAra_mAzga_kara/kolAhala_kara/cillA
clamours	cillAnA
clamp-down	kaTora_nIwi
clamped	jora_se_pakadanA
clamping	jora_se_pakadanA
clamp	kIlaka/SikaFjA/SikAFjA_kasa/kasa/jakada/jora_se_pakada
clamps	jora_se_pakadanA
clams	eka_prakAra_kA_GoMGA
clam-up	cuppI_raKa
clandestine	CipA_huA/gupwa
clandestinely	Cipe_rUpa_se
clandestiner	CipA_huA
clandestinest	CipA_huA
clanged	JanaJanAnA
clanging	JanaJanAnA
clang	JanaJanA
clangs	JanaJanAnA
clan	jAwi/kula
clanking	JanaJanAhata
clank	JanaJanAhata/JanaJanA
clans	jAwi
clansman	kula_saxasya
clapboard	jala-niRkAsana_kA_DalavAz_waKwA
clapped	eka_prakAra_kI_yOna_bImArI
clapperclaw	gAlI_xe
clapping	eka_prakAra_kI_yOna_bImArI
claps	eka_prakAra_kI_yOna_bImArI
clap	wAlI/WapaWapAhata/wAliyoM_se_svAgawa/ganoriyA/gadagadAhata/BIRaNa_garjana/eka_prakAra_kI_yOna_bImArI/wAliyAz_bajAkara_aBinanxana_kara/wAlI_bajA/pITa_WapaWapA
claret	gaharA_lAla_rafga/klEreta
clarification	spaRtIkaraNa
clarifications	spaRtIkaraNa
clarified	spaRta_karanA
clarifies	spaRta_karanA
clarifying	spaRta_karanA
clarify	spaRta_kara/SuxXa_kara/spaRtIkaraNa_xe
clarinet	eka_prakAra_kA_vAxya_yanwra/klErineta
clarinets	eka_prakAra_kA_vAxya_yanwra
clarinettist	SahanAI_jEsA_bAjA_bajAnevAlA
clarioned	jagA_xene_vAlI
clarioner	jagA_xene_vAlI
clarionest	jagA_xene_vAlI
clarioning	jagA_xene_vAlI
clarion	jora_kI/jagA_xene_vAlI/wurahI
clarions	jagA_xene_vAlI
clarities	spaRtawA
clarity	spaRtawA
Clark	klArka
clashed	eka_hI_samaya_para_honA
clashes	eka_hI_samaya_para_honA
clashing	eka_hI_samaya_para_honA
clash	safGarRa/JanaJanAhata/Bidanwa/asAmaFjasya/anabana/ladAI/eka_hI_samaya_para_honA/bemela/takkara/takarA/ulaJa/tUta_pada/muTaBeda/mela_na_K/lada/sAWa_sAWa_ho/bemela_ho
clasp	bakkala/pakada/bakasuA/majabUwa_pakada/kasa_kara_pakada/bAzXa/majabUwI_se_pakada
clasped	majabUwa_pakada
clasping	majabUwa_pakada
clasp-knife	KatakexAra_cAkU
clasps	majabUwa_pakada
class-consciousness	varga_cewanA
class-conscious	varga-cEwanya
classed	kakRA
classes	kakRA
classicaler	prAcIna
classicalest	prAwacIna
classicalist	SAswrIya_praNAlI_kA_anusarana_karanevAlA
classicalists	SAswrIya_praNAlI_kA_anusarana_karanevAlA
classically	pAramparika_Dafga_se
classical-music	SAswrIya_safgiwa
classical	SAswrIya/pAramparika/manamohaka/grIka-romana_kalA-sAhiwya_kA/prAcIna
classicer	uwkqRta
classicest	uwkqRta
classicism	SreNyavAxa
Classicism	uccakoti_kI_SElI_yA_sAhiwya
classicist	SAswrIya_praNAlI_kA_anusarana_karanevAlA
classicists	SAswrIya_praNAlI_kA_anusarana_karanevAlA
classic	sarvocca_koti_kA/viSeRa/pAramparika/acCA/uwkqRta/grIka_lEtIna_yA_saMskqwa_ke_swara_kI/uwkqRta_uxAharaNa/uwkqRta_sAhiwya/prAcIna_sAhiwya/kalA/SreRtawama
Classics	grIka-romaIya_BARA-sAhiwya_kA_aXyayana
classics	uwkqRta
classier	viSeRa_evaM_uccawama
classiest	viSeRa_evaM_uccawama
classification_noun	vargikaraNa
classifications	vargIkaraNa
classification	vargIkaraNa/SreNIviBAjana
classifieder	gopanIya
classifiedest	gopanIya
classifiedly	vargIkqwa_rUpa_se
classifieds	vargIkqwa_vijFApana
classified	vargIkqwa/gupwa/gopanIya
classifies	vargIkqwa_karanA
classifying	vargIkqwa_karanA
classify	vargIkqwa_kara/vargIkqwa_ho/vargIkaraNa_kara/aXikArika_GoRaNA_kara
classily	viSeRa_evaM_uccawama_rUpa_se
classing	kakRA
classless	binA_varga_ke/vargahIna
classlesser	binA_varga_ke
classlessest	binA_varga_ke
classmate	sahapATI
classmates	sahapATI
class_noun	varga
classroom	kakRA
classrooms	kakRA
classwise	SreNIvAra
class	xarje_kA/uwama/SreNI_kA/sarvowkqRTa/maswa/KUbasUrawa/baDiyA/acCA/viSeRa/varga/xarjA/vyAKyAna/vargIkaraNa/varga_ke_CAtra/SReNI/SreNI/safgawa/razgaruta/paxa/pATa/kisma/klAsa/kakRA/jAwi/guNavawwA/digrI/CAtra/viSeRawA/SreRTawA/praWama_sWAna/vargIkaraNa_kara/varga_meM_mAna/SReNIbaXxa_kara/SreNIbaXxa_kara/samaJa/pafkwibaXxa_kara/kramabaXxa_Dafga_se_alaga_karanA_kara
classy	viSeRa_evaM_uccawama/uwkqRta
clattered	KadaKada_kI_AvAja_karanA
clattering	KadaKada_kI_AvAja_karanA
clatter	KadaKadAhata/KadaKada_kI_AvAja_kara
clatters	KadaKada_kI_AvAja_karanA
clauses	vAkyAMSa
clause	vAkyAMSa/upavAkya/paricCexa/{vyAkaraNa_sambanXI}vAkyAMSa/KaNda
claustrophobia	klAstroPobiyA/saMvqwa-sWAna-BIwi/klAstroPobiyA{banxa_jagaha_me_Gutana_mahasUsa_karanA}
claustrophobias	klAstroPobiyA
claustrophobic	banxa_jagaha_meM_Gutana_mahasUsa_karanevAlA/saMvqwi_BIwa
claustrophobicer	banxa_jagaha_meM_Gutana_mahasUsa_karanevAlA
claustrophobicest	banxa_jagaha_meM_Gutana_mahasUsa_karanevAlA
clave	cipake_hue_rahanA
clavichord	eka_prakAra_kA_vAxya_yanwra
clavichords	eka_prakAra_kA_vAxya_yanwra
clavicle	hazsulI
clavicles	hazsulI
claw-back	kara_lagAkara_vasUlI
clawed	paFjA_mAranA
claw-hammer	jambUrA
clawing	paFjA_mAranA
claw	paFjA/sEYdasI/paFjA_CEnII/paFjA_mAra/KaroMca
claws	paFjA_mAranA
clayed	saKwa_cikanI_mittI
clayey	cikanI_mittI_jEsA
clayeyer	cikanI_mittI_jEsA
clayeyest	cikanI_mittI_jEsA
claying	saKwa_cikanI_mittI
claymore	eka_prakAra_kI_lambI_walavAra
claymores	eka_prakAra_kI_lambI_walavAra
clay	saKwa_cikanI_mittI/vyakwiwva/Sava/prawiBA/mittI/lASa/kIcada/cikanI_mittI
clays	saKwa_cikanI_mittI
clean-cut	susaMskqwa/spaRta
clean-down	sAPa_kara
cleaned	KAlI
cleaner	sAPa_karane_vAlA/pampa/mArjaka
cleaners	sAPa_karane_vAlA/mArjaka-xukAna
cleanest	KAlI
clean-from	verb/ganxagI_nikAlanA
cleaning	saPAI
cleanlier	binA_koI_galawI_se
cleanliest	binA_koI_galawI_se
cleanlinesses	svacCawA
cleanliness	svacCawA/saPAI
cleanly	binA_koI_galawI_se/ImAnaxArI_se/AsAnI_se
clean-out	corI_kara
cleansed	SoXana_karanA
cleanser	SoXana_karanevAlA/sAPa_karane_vAlA
cleansers	SoXana_karanevAlA
cleanse	SoXana_kara/Xo/SuxXI_kara/sAPa_kara/mukwa_kara
cleanses	SoXana_karanA
clean-shaven	acCI_waraha_se_hajAmawa_kiyA_huA
cleansing	SoXana_karanA/prokRaNa/prakRAlana/apamArjana
cleans	KAlI
